,项目名称,中标金额（元）,中标单位名称,招标人,监督部门,招标代理,时间
11,浏阳市大围山镇河西片区棚改配套基础设施（三期）建设项目,2913310.02,湖南森鑫环境景观园林工程有限公司,：浏阳市大围山镇人民政府,浏阳市发展和改革局,/,时间：2020-03-15 20:08:48
12,浏阳市荷花公寓及周边小区配套基础设施（三期）建设项目,2060659.21,湖南运腾建筑工程有限公司,浏阳市荷花街道办事处,浏阳市发展和改革局,/,时间：2020-03-15 20:07:52
13,白沙液街两厢棚户区改造项目白沙液街腹街提质改造工程,60577486.86,湖南东方红建设集团有限公司,长沙市岳麓棚改投资有限责任公司,长沙市岳麓区建设工程招投标办公室,/,时间：2020-03-11 20:54:44
14,浏阳市沿溪镇卫生院公租房配套设施二期建设项目中标候选人更正公示,3975329.93,湖南同欣园林建设,浏阳市沿溪镇人民政府,浏阳市发展和改革局,/,时间：2020-03-11 13:50:40
15,太平街交通微循环改造工程,18529008.5,宏林建设工程集团有限公司,长沙市天心区城市人居环境局,长沙市天心区住房和城乡建设局,/,时间：2020-03-09 14:18:44
16,时光印象B-1#~B-14#、B-S1#、B-G1#、25#地下室及垃圾站工程施工,929660370.88,中国建筑第五工程局有限公司,长沙先导恒泰房地产开发有限公司,长沙高新技术产业开发区建设工程招标投标管理办公室,/,时间：2020-03-06 11:45:42
17,沙河城四期Ⅲ区A地块主体建安工程施工,409230088.77,湖南高建建设集团有限公司,长沙深业置业有限公司,长沙市建设工程招标投标中心,/,时间：2020-03-06 11:43:40
18,滨河东路（湘府东路-黄江大道、劳动东路-螺塘湾东路）配电工程施工,5589000.08,长沙市和盛电力工程安装有限公司,长沙市长东投资发展有限公司,长沙市建设工程招标投标中心,/,时间：2020-03-05 13:44:25
19,浏阳市淮川老城区零星棚户区改造（浏阳河中路片区二期）项目,2907196.86,湖南中集建设工程有限公司,：浏阳市淮川街道办事处,浏阳市发展和改革局,/,时间：2020-03-04 15:05:26
20,湘核华府三期一批项目室外附属配套工程,5334952.11,湖南青竹湖城乡建设有限公司,湖南中核置业有限公司,宁乡市建设工程招标投标事务中心,/,时间：2020-03-04 15:04:23
21,广发银行大厦装修及配套工程装修项目（复评）,20642087.4,根据招标投标相关法律法规及招标文件的规定，广发银行大厦装修及配套工程装修项目于2020年2月18日在长沙公共资源交易中心开标评标，并于2020年2月19日公示了本项目的中标候选人信息，在原公示期内有单位对评标结果有异议，经招标人及监督部门核实后，招标人组织原评标委员会对本项目评标结果进行复评；本项目评标委员会于2020年2月28日15时00分在长沙公共资源交易中心评标室对本项目评标工作进行了复评，现将评标委员会对本项目的复评结果进行公示。信息如下:,广发银行股份有限公司长沙分行,长沙市岳麓区建设工程招投标管理办公室,/,时间：2020-03-04 15:04:22
22,岳麓山国家大学科技城（东核）安置小区一期配电工程施工,27963888.95,湖南安喆电力建设有限公司,长沙市岳麓新城保障房屋建设开发有限责任公司,长沙市岳麓区建设工程招投标管理办公室,/,时间：2020-03-04 15:03:22
23,宁乡市沙河片区开发综合配套金亭路（滨江大道-宁韶公路）建设项目,5783116.86,湖南志鹏建设集团有限公司,宁乡市国资投资控股集团有限公司,宁乡市建设工程招标投标事务中心,/,时间：2020-03-04 15:01:32
24,浏阳市北盛镇棚户区改造项目配套（三期）基础设施建设项目,2732352.17,湖南中集建设工程有限公司,：浏阳市北盛镇人民政府,浏阳市发展和改革局,/,时间：2020-03-04 15:01:29
25,宁乡大道西侧纵向排水管网改造工程,21824240.11,湖南恒楚建设有限公司,宁乡经济技术开发区建设投资有限公司,宁乡经济技术开发区政府采购与招投标办公室,/,时间：2020-03-04 15:01:28
26,宁乡市城郊街道向前小学建设项目设计施工总承包,总报价,宁乡市城郊街道向前小学建设项目设计施工总承包,宁乡市城市建设投资集团有限公司,/,/,时间：2020-03-04 15:00:24
27,宁乡市横市镇横市初级中学建设项目设计施工总承包,60990576.53,湖南省第四工程有限公司（联合体牵头人）,宁乡市横市镇人民政府,宁乡市建设工程招标投标事务中心,/,时间：2020-03-04 14:59:36
28,宁乡市玉潭街道新山小学改扩建项目设计施工总承包,20356345.37,长沙新康建筑工程有限公司/ 张家界规划建筑设计院有限公司,宁乡市玉潭街道楚沩社区居民委员会,宁乡市建设工程招标投标事务中心,/,时间：2020-03-02 10:28:33
29,智高路（玉谷路-翰林路）道路工程设计施工总承包,4.1%,湖南省长沙湘华建筑工程有限公司（联合体牵头人）、中国华西工程设计建设有限公司（联合体成员）,：湖南岳麓经济开发有限责任公司,长沙岳麓科技产业园管理委员会工程建设局,/,时间：2020-03-02 10:02:24
30,高塘岭街道新河幼儿园项目,9636579.44,湖南源亿建设工程有限公司,长沙市望城区重点建设项目事务中心,长沙市望城区建设工程招投标工作事务中心,/,时间：2020-03-02 09:58:26
31,中广天择总部基地二期2#酒店式办公、3#配套商业、4#孵化器办公、二期地下室,589891302.58,湖南建工集团有限公司,长沙视谷实业有限公司,长沙市建设工程招投标中心,/,时间：2020-03-02 09:58:22
32,宁乡高新区金洲大道以南及澳洲南路以西场地土方平整项目,6586363.46,京兴美建设工程有限公司,长沙金洲新城开发建设投资有限公司,宁乡高新技术产业园区政府采购与招投标管理办公室,/,时间：2020-03-02 09:57:22
33,浏阳河隧道（明挖段）、营盘路隧道、南湖路隧道渗漏水处治维修项目工程标段一,5192477.25,长沙新康建筑工程有限公司,：长沙市城市桥梁隧道事务中心,长沙市建设工程招标投标中心,/,时间：2020-03-02 09:55:22
34,长沙市星城新宇•东升家园建设项目设计施工总承包,567926351.89,湖南省沙坪建设有限公司/湖南省建筑设计院有限公司,长沙市雨花城市建设投资集团有限公司,长沙市雨花区住房和城乡建设局,/,时间：2020-03-02 09:51:22
35,华润湖南医药有限公司生产配送中心改扩建项目-消防改造工程,6941546.55,中国中安消防安全,华润湖南医药有限公司,长沙高新区招投标管理办公室,/,时间：2020-03-02 09:49:27
36,浏阳市荷花公寓及周边小区棚改配套基础设施项目（三期）,1901276.29,湖南尼塔建设发展股份有限公司,浏阳市荷花街道办事处,浏阳市发展和改革局,/,时间：2020-03-02 09:49:22
37,蔡锷中路两厢棚改项目（有机更新部分）（设计施工）总承包（一期）三标段,227600.0,湖南望新建设集团股份有限公司,长沙市芙蓉棚改投资有限责任公司,长沙市芙蓉区建设工程招投标管理办公室,/,时间：2020-03-02 09:47:25
38,浏阳市官渡镇芙蓉学校建设项目（复评）,27901964.16,湖南洪山建设集团有限公司,：浏阳市公共工程建设中心,浏阳市发展和改革局,/,时间：2020-03-02 09:42:29
39,宁乡高新区废水循环利用生产线项目三四期设备采购及相关服务,87285000.0,昆山三一环保科技有限公司, 宁乡金锂邦普环保科技有限公司,宁乡高新技术产业园区政府采购与招投标管理办公室,/,时间：2020-03-02 09:42:24
40,“北城▪书香里”项目营销中心设计施工总承包,246026.55,承运建工集团有限公司,湖南北城兴业开发建设有限公司,长沙市开福区招投标管理办公室,/,时间：2020-03-02 09:41:22
41,宁乡市灰汤镇中心小学扩建项目设计施工总承包,24741905.83,湖南恒楚建设有限公司/湖南宝信云建筑综合服务平台股份有限公司,：宁乡市灰汤镇人民政府,宁乡市建设工程招标投标事务中心,/,时间：2020-03-02 09:31:24
42,洋湖人才公寓项目（一期）施工总承包工程,302639888.53,中国建筑第五工程局有限公司,长沙恒志房地产开发有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2020-03-02 09:30:28
43,/,/,/,/,/,/,/
44,/,/,/,/,/,/,/
45,/,/,/,/,/,/,/
46,/,/,/,/,/,/,/
47,/,/,/,/,/,/,/
48,/,/,/,/,/,/,/
49,/,/,/,/,/,/,/
50,/,/,/,/,/,/,/
51,/,/,/,/,/,/,/
52,/,/,/,/,/,/,/
53,/,/,/,/,/,/,/
54,/,/,/,/,/,/,/
55,/,/,/,/,/,/,/
56,/,/,/,/,/,/,/
57,/,/,/,/,/,/,/
58,/,/,/,/,/,/,/
59,/,/,/,/,/,/,/
60,/,/,/,/,/,/,/
61,/,/,/,/,/,/,/
62,/,/,/,/,/,/,/
63,/,/,/,/,/,/,/
64,/,/,/,/,/,/,/
65,/,/,/,/,/,/,/
66,/,/,/,/,/,/,/
67,/,/,/,/,/,/,/
68,/,/,/,/,/,/,/
69,/,/,/,/,/,/,/
70,/,/,/,/,/,/,/
71,/,/,/,/,/,/,/
72,/,/,/,/,/,/,/
73,/,/,/,/,/,/,/
74,/,/,/,/,/,/,/
75,/,/,/,/,/,/,/
76,/,/,/,/,/,/,/
77,/,/,/,/,/,/,/
78,/,/,/,/,/,/,/
79,/,/,/,/,/,/,/
80,/,/,/,/,/,/,/
81,/,/,/,/,/,/,/
82,/,/,/,/,/,/,/
83,/,/,/,/,/,/,/
84,/,/,/,/,/,/,/
85,/,/,/,/,/,/,/
86,/,/,/,/,/,/,/
87,/,/,/,/,/,/,/
88,/,/,/,/,/,/,/
89,/,/,/,/,/,/,/
90,/,/,/,/,/,/,/
91,/,/,/,/,/,/,/
92,/,/,/,/,/,/,/
93,/,/,/,/,/,/,/
94,/,/,/,/,/,/,/
95,/,/,/,/,/,/,/
96,/,/,/,/,/,/,/
97,/,/,/,/,/,/,/
98,/,/,/,/,/,/,/
