,项目名称,中标金额（万元）,中标单位名称,招标人,监督部门,招标代理
25,天心经开区暮云片区建成区已建道路等配套设施提质改造工程（伊莱克斯大道、南湖大道）设计施工总承包,18627.766352000002,长沙市市政工程有限责任公司,/,/,广州万安建设监理有限公司
26,天心经开区暮云片区建成区已建道路等配套设施提质改造工程设计施工总承包（暮云大道等五条路）,13393.252969,联合体：湖南省西城建设有限公司、湖南大学设计研究院有限公司,湖南天长置业有限责任公司,/,大华建设项目管理有限公司
27,/,3973.568336,湖南望新建设集团股份有限公司,/,/,广东建瀚工程管理有限公司
28,北山镇蒿塘中学改扩建项目,615.862368,湖南旌竣建设工程有限公司,长沙县北山镇人民政府,/,湖南建科工程项目管理有限公司
29,长沙市开福区松林路(天井路~庙堂路）道路工程施工,1978.475578,湖南兴旺建设有限公司,长沙金霞经济开发区开发建设总公司；,/,湖南中誉项目管理有限公司
30,浏阳市小河乡田心片区棚改配套基础设施建设项目（三期）,344.386915,湖南业达建设有限公司,浏阳市小河乡人民政府,/,湖南省东睿工程咨询有限公司
31,湖南发展资产管理集团有限公司办公用房装修工程设计施工总承包,3189.889211,湖南建工集团装饰工程有限公司（联合体牵头人）、湖南省建筑设计院有限公司,/,/,永信和瑞工程咨询有限公司
32,双河北路两厢绿化带建设工程项目,1047.185846,湖南省金凯园林集团有限公司,长沙市开福区公共工程建设中心,/,中科高盛咨询集团有限公司
33,紫荆路（红枫路-梅溪湖西延线）道路景观工程,30986306.92,浩天建工集团有限公司,梅溪湖投资（长沙）有限公司,/,湖南省招标有限责任公司
34,长沙市留置场所升级改造项目（新建部分）EPC范围内智能化系统工程及相关服务项目,1777.2828690000001,广州杰赛科技股份有限公司,/,/,湖南广联工程项目管理有限公司
35,长沙市留置场所升级改造项目（新建部分）电梯采购与安装工程,471.0,湖南旺达电梯有限公司,/,/,湖南广联工程项目管理有限公司
36,月华街南段（溁湾路-白沙液街）道路提质改造工程设计施工总承包,1119.602185,湖南省西湖建筑集团有限公司（联合体牵头人）、湖南省建筑科学研究院有限责任公司,/,/,湖南中誉项目管理有限公司
37,/,462.761388,/,宁乡市国资投资控股集团有限公司,/,湖南华冠工程项目管理有限公司
38,浏阳市洞阳镇卫生院整体搬迁建设项目（一期）设计,/,中外建华诚工程技术集团有限公司,浏阳市公共工程建设中心,/,湖南洞庭项目管理有限公司
39,浏阳市沙市镇公租房配套设施二期建设项目,239.22851,湖南新湖建设有限公司,浏阳市沙市镇人民政府,/,湖南建科工程项目管理有限公司
40,宁乡高新金锂公租房（人才公寓）建设设计施工总承包（第二次）,42858.1172,/,宁乡同创建设开发有限公司,/,湖南尚宽工程项目管理有限公司
41,湘江流域和洞庭湖山水林田湖草生态保护修复工程宁乡退耕还林还湿试点项目,303.042939,湖南旌竣建设工程有限公司,宁乡市林业局,宁乡市林业局,湖南志方项目管理有限公司
42,浏阳市关口街道长兴社区长兴福盛小区配套基础设施项目,587.3361110000001,湖南拓辉建设工程有限公司,浏阳市关口街道办事处,/,国鼎和诚招标咨询有限公司
43,水洲路一期（观音岩路-雷锋大道）项目,2071.3103,湖南乔口建设有限公司,长沙市望城区重点建设项目事务中心,/,天鉴国际工程管理有限公司
44,长沙高铁会展新城定向商品房源配套建设道路工程施工第二标段,7790.955182,湖南省第三工程有限公司,长沙市长东投资发展有限公司；,/,湖南中誉项目管理有限公司
45,长沙高铁会展新城定向商品房源配套建设道路工程施工第一标段,7448.688678,湖南望新建设集团股份有限公司,长沙市长东投资发展有限公司；,/,湖南中誉项目管理有限公司
46,梦想新天地项目1#、2#、5#-9#栋及地下室（二）建安工程外墙保温一体板工程,￥21500513.07,湖南华程建设工程有限公司,长沙梅溪湖金晟置业有限公司,/,湖南博达方仁工程项目管理有限公司
47,宁乡市沙田乡五里堆集镇棚户区配套基础设施建设项目,301.73579,张家界市宏生建筑装饰有限责任公司,宁乡市沙田乡人民政府,宁乡市建设工程招标投标事务中心,深圳群伦项目管理有限公司
48,宁乡市沙田乡沙田集镇棚户区配套基础设施建设项目,149.971778,长沙恒鑫建筑安装有限公司,宁乡市沙田乡人民政府,宁乡市建设工程招标投标事务中心,深圳群伦项目管理有限公司
49,长沙市雨花区高升路箱涵及截污干管工程设计,/,长沙市规划设计院有限责任公司,长沙市雨花区公共工程建设中心,/,湖南九为工程项目管理有限公司
50,洋湖水厂一期排泥水系统改造工程项目,2959.163756,湖南星大建设集团有限公司,长沙供水有限公司,/,湖南省工程建设监理有限公司
51,长沙市儿童福利院配电工程,371.217466,湖南鸿齐电力建设有限公司,长沙市第一社会福利院,/,湖南中技项目管理有限公司
52,白沙液街两厢棚户区改造项目白沙液街腹街提质改造工程,6292.110395000001,/,长沙市岳麓棚改投资有限责任公司,为长沙市岳麓区建设工程招投标办公室,湖南新泉工程造价咨询有限公司
53,长沙经济技术开发区项目开发建设管理有限公司泉塘变10KV出线路由工程,1108.197503,湖南安喆电力建设有限公司,长沙经济技术开发区项目开发建设管理有限公司,/,湖南中技项目管理有限公司
54,星沙街道实验小学改扩建工程,1160.45569,湖南顺峰建设有限公司,长沙县教育局,/,湖南同旺项目管理有限公司
55,马栏山人才公寓项目施工,19144.144278,湖南东方红建设集团有限公司,长沙马栏山投资开发建设有限公司,/,湖南建业管理咨询有限公司
56,湘江大道沙河大桥二期工程桥梁检测项目,194.0619,湖南中大检测技术集团有限公司,长沙城投铁路站场迁建开发有限公司,/,湖南新泉工程造价咨询有限公司
57,支路十二道路工程施工,284.64817200000005,湖南联众建设工程有限公司,长沙市滨江新城建设开发有限责任公司,/,湖南新泉工程造价咨询有限公司
58,浏阳市镇头镇集镇污水主管网建设项目,330.53393700000004,湖南运腾建筑工程有限公司,浏阳市镇头镇人民政府,/,湖南业精项目管理有限公司
59,安沙镇物流大道二期建设项目（西向）标段施工,4463.941399,湖南梅溪湖建设有限公司,长沙县重点建设项目事务中心/长沙县星城发展集团有限公司,/,智埔国际工程咨询有限公司
60,中房瑞致小区5号地块60#-66#栋、垃圾站及地下室建设项目施工,36816.820414,湖南省第六工程有限公司,长沙中住兆嘉房地产开发有限公司,/,湖南信元工程项目管理有限公司
61,临空物流园配套服务区项目设计（第二次）,/,/,长沙空港城建设开发有限公司,/,湖南省嘉顺工程咨询有限公司
62,/,602.814432,湖南森磊建设工程有限公司,湖南机电职业技术学院,/,湖南中隆瑞项目管理有限公司
63,/,558.304392,/,宁乡市喻家坳乡人民政府,/,湖南华冠工程项目管理有限公司
64,珠江·四方公馆项目设计,881.2339119999999,长沙市规划设计院有限责任公司,湖南珠江实业投资有限公司,/,湖南华伦咨询有限公司
65,北辰三角洲项目A1D1区商业改造总承包工程,22882.243869 ,上海建工二建集团有限公司,长沙北辰房地产开发有限公司,为长沙市开福区招标投标管理办公室0731-8455817。,湖南拓天工程项目管理有限公司
66,长沙市环保大道东延线（振东路-红旗路）电力埋管工程施工,1314.0246300000001,湖南华信安装工程有限公司,长沙雨花经开开发建设有限公司,/,大华建设项目管理有限公司
67,城建信息中心可研及设计项目,68.00%,中机国际工程设计研究院有限责任公司,长沙市铁路建设投资开发有限公司,/,中科高盛咨询集团有限公司
68,长沙学院新建弘昱学生宿舍项目代建,239.85,友谊国际工程咨询有限公司,长沙学院,长沙市政府投资公益性项目代建制指导协调办公室,河南省信人工程造价咨询有限公司
69,西文庙坪周边地块棚改项目配套改造工程四期,7318.986965000001,湖南六建装饰设计工程有限责任公司,长沙市天心棚改投资有限责任公司；,/,湖南友杰工程咨询有限公司
70,浏阳市淮川街道城西社区土产老旧小区改造项目,145.614298,湖南警安工程有限公司,浏阳市淮川街道办事处,/,湖南信元工程项目管理有限公司
71,新昌学校土石方、边坡支护及挡土墙工程,3898.309311,湖南顺天建设集团有限公司,长沙市天心区教育局；,/,湖南信元工程项目管理有限公司
72,高排水改造工程（北津城路及北津城公园）项目施工（第二次）,7813.163651999999,湖南望新建设集团股份有限公司,长沙市滨江新城建设开发有限责任公司；,/,广州万安建设监理有限公司
73,万家塘路（银星路-银晟路）道路工程施工,3814.884849,湖南省永安建筑股份有限公司,长沙湘江新城投资有限公司,/,湖南新泉工程造价咨询有限公司
74,宁乡市青山桥镇中心小学教学楼及附属工程建设项目,549.7808570000001,湖南兴旺建设有限公司,宁乡市青山桥镇人民政府,/,湖南明睿工程项目管理有限公司
75,浏阳市淮川街道城西社区土产老旧小区配套基础设施建设项目,450.841108,湖南华坤建设工程有限公司,浏阳市淮川街道办事处,/,湖南信元工程项目管理有限公司
76,宁乡高新区金洲大道以南及澳洲南路以西场地土方平整项目,658.636346,京兴美建设工程有限公司,长沙金洲新城开发建设投资有限公司,/,湖南尚宽工程项目管理有限公司
77,合欢路（和润园三期-松柏路）和松柏路（桥头小学-红枫路）道路工程施工,2503.983126,湖南星大建设集团有限公司,长沙麓谷建设发展有限公司,/,湖南省工程建设监理有限公司
78,浏阳市沙市镇文光中学新建教学楼项目,557.121896,湖南首建项目管理有限公司,浏阳市公共工程建设中心,/,浏阳市雨露项目管理服务有限公司
79,宁乡高新区云起实验小学建设设计施工总承包,8330.937,五矿二十三冶建设集团有限公司/湖南建设集团有限公司,长沙恩吉实业投资有限公司,/,湖南尚宽工程项目管理有限公司
80,长沙市开福区公共卫生服务大楼装饰装修工程施工,723.461769,湖南洪山建设集团有限公司,长沙开福城市建设投资有限公司；,/,湖南阳光建设工程项目管理有限公司
81,宁乡市沙河片区开发综合配套金亭路（滨江大道-宁韶公路）建设项目,555.422379,湖南轩达项目管理有限公司,,,湖南正皓工程管理有限公司
82,项目名称：曙光电子集团有限公司办公楼、食堂装修改造工程总承包（EPC）中标人：湖南北山建设集团股份有限公司（联合体牵头人）、长沙市规划设计院有限责任公司（联合体成员）中标价格：7820800.00元二、其他：湖南省湘咨工程咨询有限责任公司受曙光电子集团有限公司的委托，对曙光电子集团有限公司办公楼、食堂装修改造工程总承包（EPC）进行公开招标。本项目已于2020年3月12日在长沙公共资源交易中心开标、评标，并于2020年3月16日在《湖南省招标投标监管网》、《长沙公共资源交易电子服务平台》上对中标候选人进行了公示，公示期内无异议和投诉。中标人为湖南北山建设集团股份有限公司（联合体牵头人）、长沙市规划设计院有限责任公司（联合体成员）。三、监督部门本招标项目的监督部门为长沙高新区招投标管理办公室，联系电话0731-88995577。四、联系方式招标人：曙光电子集团有限公司地址：长沙市芙蓉区人民中路467号联系人：陈卫国电话：13975861159电子邮件：826887184@qq.com招标代理机构：湖南省湘咨工程咨询有限责任公司地址：长沙市东二环一段1139号湖南国际商务中心五楼联系人：易鹏、李陵电话：0731-84447300-2049电子邮件：826887184@qq.com,7820800.00元二、其他：湖南省湘咨工程咨询有限责任公司受曙光电子集团有限公司的委托，对曙光电子集团有限公司办公楼、食堂装修改造工程总承包（EPC）进行公开招标。本项目已于2020年3月12日在长沙公共资源交易中心开标、评标，并于2020年3月16日在《湖南省招标投标监管网》、《长沙公共资源交易电子服务平台》上对中标候选人进行了公示，公示期内无异议和投诉。中标人为湖南北山建设集团股份有限公司（联合体牵头人）、长沙市规划设计院有限责任公司（联合体成员）。三、监督部门本招标项目的监督部门为长沙高新区招投标管理办公室，联系电话0731-88995577。四、联系方式招标人：曙光电子集团有限公司地址：长沙市芙蓉区人民中路467号联系人：陈卫国电话：13975861159电子邮件：826887184@qq.com招标代理机构：湖南省湘咨工程咨询有限责任公司地址：长沙市东二环一段1139号湖南国际商务中心五楼联系人：易鹏、李陵电话：0731-84447300-2049电子邮件：826887184@qq.com,/,曙光电子集团有限公司地址：长沙市芙蓉区人民中路467号联系人：陈卫国电话：13975861159电子邮件：826887184@qq.com招标代理机构：湖南省湘咨工程咨询有限责任公司地址：长沙市东二环一段1139号湖南国际商务中心五楼联系人：易鹏、李陵电话：0731-84447300-2049电子邮件：826887184@qq.com,曙光电子集团有限公司地址：长沙市芙蓉区人民中路467号联系人：陈卫国电话：13975861159电子邮件：826887184@qq.com招标代理机构：湖南省湘咨工程咨询有限责任公司地址：长沙市东二环一段1139号湖南国际商务中心五楼联系人：易鹏、李陵电话：0731-84447300-2049电子邮件：826887184@qq.com,湖南省湘咨工程咨询有限责任公司
83,长沙黄兴海吉星国际农产品物流园（二期）设计招标项目,/,/,长沙马王堆农产品股份有限公司,/,湖南省湘咨工程咨询有限责任公司
84,浏阳市大围山镇河西片区棚改配套基础设施（三期）建设项目,291.331002,湖南森鑫环境景观园林工程有限公司,浏阳市大围山镇人民政府,/,天鉴国际工程管理有限公司
85,湖南长沙数据机房土建工程及室外工程施工项目,14571.102191,湖南东方红建设集团有限公司,中国移动通信集团湖南有限公司,/,湖南省工程建设监理有限公司
86,浏阳市荷花公寓及周边小区配套基础设施（三期）建设项目,206.065921,湖南运腾建筑工程有限公司,浏阳市荷花街道办事处,/,湖南天元和项目管理有限公司
87,长沙市妇幼保健院（河西新院）项目设计,优惠率31.2%,湖南省建筑设计院有限公司,长沙市医健建设发展有限公司,/,天鉴国际工程管理有限公司
88,/,1852.90085,宏林建设工程集团有限公司,长沙市天心区城市人居环境局,/,湖南同旺项目管理有限公司
89,/,1804.335003,/,长沙电力职业技术学院,/,湖南湘能创业项目管理有限公司
90,时光印象B-1#~B-14#、B-S1#、 B-G1#、25#地下室及垃圾站工程施工,92966.037088,中国建筑第五工程局有限公司,长沙先导恒泰房地产开发有限公司；,/,湖南华中源工程项目管理有限公司
91,110KV树雨线（#005--#010）杆迁雅塘冲路配套土建工程,625.081763,湖南华信安装工程有限公司,长沙市公共工程建设中心；,/,湖南湘源工程项目管理咨询有限责任公司
92,黄江大道、上湾中路、中轴大道、金桂路、高塘坪路五条道路配电工程施工项目,1135.893186,湖南华信安装工程有限公司,长沙市长东投资发展有限公司,/,湖南龙武工程项目管理有限公司
93,/,2182.424011,湖南恒楚建设有限公司,宁乡经济技术开发区建设投资有限公司,/,湖南坤桥工程项目管理有限公司
94,广发银行大厦装修及配套工程装修项目,19654237.62,/,广发银行股份有限公司长沙分行,核实后，招标人组织原评标委员会对本项目评标结果进行复评；本项目评标委员会于2020年2月28日15时00分在长沙公共资源交易中心评标室对本项目评标工作进行了复评，且于2020年03月3日在上述网站对中标候选人进行了复评公示，公示期内无异议和投诉。,湖南省招标有限责任公司
95,浏阳河隧道（明挖段）、营盘路隧道、南湖路隧道渗漏水处治维修项目工程标段二,413.661586,湖南奉天建设集团有限公司,长沙市城市桥梁隧道事务中心,/,智埔国际工程咨询有限公司
96,浏阳市北盛镇棚户区改造项目配套（三期）基础设施建设项目,273.235217,湖南中集建设工程有限公司,浏阳市北盛镇人民政府,/,天鉴国际工程管理有限公司
97,/,6099.057653,长沙新康建筑工程有限公司/张家界规划建筑设计院有限公司,宁乡市横市镇人民政府,/,湖南安泰工程项目管理有限公司
98,浏阳市淮川老城区零星棚户区改造（浏阳河中路片区二期）项目,290.71968599999997,湖南中集建设工程有限公司,浏阳市淮川街道办事处,/,湖南信元工程项目管理有限公司
99,浏阳河隧道（明挖段）、营盘路隧道、南湖路隧道渗漏水处治维修项目工程标段一,519.247725,长沙新康建筑工程有限公司,长沙市城市桥梁隧道事务中心,/,智埔国际工程咨询有限公司
100,/,2035.6345370000001,长沙新康建筑工程有限公司/ 张家界规划建筑设计院有限公司,宁乡市玉潭街道楚沩社区居民委员会,/,湖南安泰工程项目管理有限公司
101,浏阳市荷花公寓及周边小区棚改配套基础设施项目（三期）,190.127629,湖南尼塔建设发展股份有限公司,浏阳市荷花街道办事处,/,湖南天元和项目管理有限公司
102,/,2419.3182070000003,湖南华程建设工程有限公司/长沙市规划设计院有限责任公司,/,/,广东建瀚工程管理有限公司
103,/,2474.1905829999996,湖南恒楚建设有限公司/湖南宝信云建筑综合服务平台股份有限公司,宁乡市灰汤镇人民政府,/,湖南志方项目管理有限公司
104,项目名称：高塘岭街道新河幼儿园项目中 标 人：湖南源亿建设工程有限公司中标金额：9636579.44元二、其他：湖南广大天平工程项目管理有限公司受长沙市望城区重点建设项目事务中心的委托，对高塘岭街道新河幼儿园项目进行公开招标。本项目已于2020年2月26日上午9:00时（北京时间）在长沙公共资源交易中心举行了开标、评标，2月27日在《湖南省招标投标监管网》、《长沙公共资源交易电子服务平台》、《望城区政府门户网》上对中标候选人进行了公示，公示期内没有收到投标人异议。现将中标单位公告如下：中标单位名称：湖南源亿建设工程有限公司。三、监管部门：长沙市望城区建设工程招投标工作事务中心联系电话：0731-88061859四、联系方式：招 标 人：长沙市望城区重点建设项目事务中心联系电话：0731-88062997招标代理机构：湖南广大天平工程项目管理有限公司联系电话：0731-84589668,9636579.44元二、其他：湖南广大天平工程项目管理有限公司受长沙市望城区重点建设项目事务中心的委托，对高塘岭街道新河幼儿园项目进行公开招标。本项目已于2020年2月26日上午9:00时（北京时间）在长沙公共资源交易中心举行了开标、评标，2月27日在《湖南省招标投标监管网》、《长沙公共资源交易电子服务平台》、《望城区政府门户网》上对中标候选人进行了公示，公示期内没有收到投标人异议。现将中标单位公告如下：中标单位名称：湖南源亿建设工程有限公司。三、监管部门：长沙市望城区建设工程招投标工作事务中心联系电话：0731-88061859四、联系方式：招 标 人：长沙市望城区重点建设项目事务中心联系电话：0731-88062997招标代理机构：湖南广大天平工程项目管理有限公司联系电话：0731-84589668,湖南源亿建设工程有限公司。三、监管部门：长沙市望城区建设工程招投标工作事务中心联系电话：0731-88061859四、联系方式：招 标 人：长沙市望城区重点建设项目事务中心联系电话：0731-88062997招标代理机构：湖南广大天平工程项目管理有限公司,长沙市望城区重点建设项目事务中心联系电话：0731-88062997招标代理机构：湖南广大天平工程项目管理有限公司联系电话：0731-84589668,/,湖南广大天平工程项目管理有限公司
105,宁乡市人民医院健康管理中心建设项目,1245.0081699999998,长沙广大建筑装饰有限公司,宁乡市人民医院,/,湖南正源项目管理咨询有限公司
106,刘少奇故居文物保护中心周边环境工程设计施工总承包,661.64288,/,/,0731-84898622、89919392 。,大成工程咨询有限公司
107,浏阳市官渡镇芙蓉学校建设项目,2790.196416,湖南洪山建设集团有限公司,中标单位名称：湖南洪山建设集团有限公司。,/,湖南三湘工程管理有限公司
108,宁乡高新区废水循环利用生产线项目三四期设备采购及相关服务,8728.5,昆山三一环保科技有限公司,宁乡金锂邦普环保科技有限公司,/,湖南尚宽工程项目管理有限公司
109,洋湖人才公寓项目（一期）施工总承包工程,30263.988853,中国建筑第五工程局有限公司,长沙恒志房地产开发有限公司,/,湖南新泉工程造价咨询有限公司
110,洋湖湿地旅游配套服务项目街区装修工程,9257182.13,宏林建设工程集团有限公司,长沙先导洋湖湿地文化旅游有限公司,/,湖南省招标有限责任公司
111,浏阳市新屋岭小学建设项目工程总承包（EPC）项目,为58886496.22,湖南省沙坪建设有限公司,浏阳市公共工程建设中心,/,湖南中技项目管理有限公司
112,坪山村保障房项目一期与西片区保障房项目二期电梯设备采购及安装工程,1536.2,湖南客尚电梯服务有限公司,长沙梅溪湖金晟置业有限公司,/,湖南新泉工程造价咨询有限公司
113,浏阳市第四水厂建设项目设计,/,中机国际工程设计研究院有限责任公司,浏阳市自来水有限公司,/,湖南昊坤工程咨询有限公司
114,长沙市雅礼芙蓉中学新建项目设计,优惠率30.5%,中机国际工程设计研究院有限责任公司,长沙市雅礼芙蓉中学,长沙市建设工程招标投标中心,湖南中招项目管理有限公司
