,项目名称,中标金额（元）,中标单位名称,招标人,监督部门,招标代理,时间
21,长沙市污水处理厂污泥与生活垃圾清洁焚烧协同处置二期项目工程污水处理厂工程,/,项目名称：长沙市污水处理厂污泥与生活垃圾清洁焚烧协同处置二期项目工程污水处理厂工程,/,/,/,时间：2020-04-26 17:42:44
22,看云中学建设项目施工,119207441.8,湖南建工集团有限公司,梅溪湖投资（长沙）有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2020-04-26 17:41:40
23,长沙县高桥镇整镇推进分散式污水处理建设项目,7694359.89,湖南顺峰建设有限公司,长沙县高桥镇人民政府,长沙县发展和改革局,/,时间：2020-04-23 17:36:40
24,湖南媒体艺术产业园项目主体建安工程施工,391007373.2,湖南麓谷建设工程有限公司,湖南媒体艺术产业发展有限公司,长沙高新区招投标管理办公室,/,时间：2020-04-23 17:30:40
25,圭塘小学扩建项目,15868238.78,湖南天茂建设集团有限公司,长沙市雨花区公共工程建设中心,长沙市雨花区住房和城乡建设局,/,时间：2020-04-23 17:29:42
26,洪塘佳苑提质改造工程项目,5805447.61,湖南天禹建设,长沙雨花经开开发建设有限公司,长沙市雨花区住房和城乡建设局,/,时间：2020-04-23 17:18:50
27,惠科地块110KV丛江、丛镇线（P5-P16）杆迁工程土建配套项目,4404225.88,湖南鸿齐电力建设有限公司,浏阳经开区恒康基础设施管理有限公司,浏阳经济技术开发区财政局招标采购中心,/,时间：2020-04-23 17:10:44
28,建工.象山国际二期一标段（B1#、B2#、B6#栋）施工总承包工程,229687819.5,湖南省第六工程有限公司,湖南建工置业投资有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2020-04-21 19:44:45
29,浏阳市洞阳区域性中心敬老院建设项目二期工程,4862468.1,湖南警安工程有限公司,浏阳市洞阳镇人民政府,浏阳市发展和改革局,/,时间：2020-04-21 19:41:40
30,天心区火宫殿周边零星地块（二期）棚户区改造项目,28486265.22,湖南省绿林市政景观工程有限公司,长沙市天心区坡子街街道办事处,长沙市天心区住房和城乡建设局,/,时间：2020-04-21 19:39:48
31,浏阳市大瑶镇育才片区棚户区改造配套基础设施（三期）建设项目,3480260.36,京兴美建设工程有限公司,浏阳市大瑶镇人民政府,浏阳市发展和改革局,/,时间：2020-04-21 19:24:41
32,高教路（旺旺西路-喻家坡路）道路工程施工,29087866.76,湖南省第三工程有限公司,长沙市望城区重点建设项目事务中心,长沙市望城区建设工程招投标工作事务中心,/,时间：2020-04-21 19:21:40
33,望仙东路（东十线至东十二线）建设项目一标段施工,33531620.13,浩天建工集团有限公司,：长沙县重点建设项目事务中心/长沙县星城发展集团有限公司,长沙县发展和改革局,/,时间：2020-04-21 19:17:40
34,洋湖人才公寓项目（一期）精装修工程,100316450.7,湖南建工集团装饰,长沙恒志房地产开发有限公司,/,/,时间：2020-04-17 16:50:49
35,地铁洋湖垸换乘站配建地下停车场及地面绿化景观工程（景观部分）施工,20978488.88,湖南省城市建筑集团有限公司,长沙先导洋湖建设投资有限公司,湖南湘江新区管委会住建环保局,/,时间：2020-04-17 16:49:50
36,长沙县黄花水厂二期扩建及提质改造项目工程总承包(EPC),82861285.69,联合体牵头人：湖南长大建设集团股份有限公司,湖南长大集团长沙黄花供水有限公司,长沙县发展和改革局,/,时间：2020-04-17 16:49:47
37,长沙林骏汽车内饰系统有限公司汽车内饰生产项目新建厂房项目,40499578.72,湖南北山建设集团股份有限公司,长沙林骏汽车内饰系统有限公司,/,/,时间：2020-04-17 16:49:43
38,万家丽路220kV电力隧道工程消防工程施工,2858464.09,湖南得大建设集团有限公司,长沙市公共工程建设中心,长沙市建设工程招标投标中心,/,时间：2020-04-17 11:47:37
39,中塘片区安置房项目场地平整施工,13679092.46,湖南乔口建设有限公司,：长沙梦科置业有限公司,湖南湘江新区管委会住建环保局,/,时间：2020-04-17 11:28:49
40,高原路（旺旺西路-喻家坡路）道路工程,56228321.22,湖南乔口建设有限公司,：长沙市望城区重点建设项目事务中心,长沙市望城区建设工程招投标工作事务中心,/,时间：2020-04-17 09:13:28
41,天心经开区暮云片区建成区已建道路等配套设施提质改造工程设计施工总承包（暮云大道等五条路）,133932529.7,湖南省西城建设有限公司、湖南大学设计研究院有限公司,湖南天长置业有限责任公司,长沙天心经济开发区管理委员会、长沙市天心区住房和城乡建设局,/,时间：2020-04-17 09:09:42
42,紫荆路（红枫路-梅溪湖西延线）道路景观工程,30986306.92,浩天建工集团有限公司,梅溪湖投资（长沙）有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2020-04-16 17:27:17
43,浏阳市小河乡田心片区棚改配套基础设施建设项目（三期）,3443869.15,湖南业达建设有限公司,浏阳市小河乡人民政府,浏阳市发展和改革局,/,时间：2020-04-16 17:25:27
44,宁乡市中心片区开发环卫公共租赁建设项目,39735683.36,湖南望新建设集团股份有限公司,湖南同兴产业投资有限公司,宁乡市建设工程招投标事务中心,/,时间：2020-04-16 17:09:58
45,洋湖片区洋湖安置保障房项目设计-施工总承包,4396869.57,中国建筑第五工程局有限公司（联合体牵头人）/中国建筑西南设计研究院有限公司（联合体成员）,/,/,/,时间：2020-04-16 17:03:00
46,北山镇蒿塘中学改扩建项目,6158623.68,湖南旌竣建设工程有限公司,长沙县北山镇人民政府,长沙县发展和改革局,/,时间：2020-04-16 17:02:34
47,长沙市雨花市民之家建设项目建安工程施工中标候选人其他公示,公示期2020年4月14日至2020年4月17日。,湖南省沙坪建设有限公司,长沙市雨花城市建设投资集团有限公司,长沙市雨花区住房和城乡建设局,/,时间：2020-04-16 16:52:03
48,湖南发展资产管理集团有限公司办公用房装修工程设计施工总承包,"￥31,898,892.11",湖南建工集团装饰工程有限公司、湖南省建筑设计院有限公司（联合体）,湖南发展资产管理集团有限公司,长沙市天心区住房和城乡建设局,/,时间：2020-04-16 16:42:29
49,大王山旅游基础设施项目质量检测,4001982.07,湖南中大检测技术集团有限公司,湖南湘江新区投资集团有限公司,湖南湘江新区管委会住建环保局,/,时间：2020-04-16 16:35:44
50,浏阳市集里街道禧和社区花炮老旧小区改造项目,11103917.94,湖南省永安建筑股份有限公司,：浏阳市集里街道办事处,浏阳市发展和改革局,/,时间：2020-04-16 16:29:26
51,长沙市开福区松林路(天井路~庙堂路）道路工程施工,19784755.78,湖南兴旺建设有限公司,长沙金霞经济开发区开发建设总公司,长沙市开福区招投标管理办公室,/,时间：2020-04-16 16:28:01
52,长沙市雨花市民之家建设项目建安工程施工中标候选人更正公示,公示期2020年4月14日至2020年4月17日。,湖南省沙坪建设有限公司,长沙市雨花城市建设投资集团有限公司,长沙市雨花区住房和城乡建设局,/,时间：2020-04-16 16:26:22
53,金融大厦项目东区裙楼及地下室排油烟安装工程,4197490.66,湖南立德建设工程有限公司,长沙恒诚业房地产开发有限公司,湘江新区管理委员会住建环保局,/,时间：2020-04-16 15:53:49
54,月华街南段（溁湾路-白沙液街）道路提质改造工程设计施工总承包,11196021.85,湖南省西湖建筑集团有限公司/湖南省建筑科学研究院有限责任公司,长沙市岳麓区公共工程建设中心,长沙市岳麓区建设工程招投标办公室,/,时间：2020-04-13 17:35:47
55,浏阳经开区汇远蓝郡公租房建设项目设计采购施工（EPC)总承包,2253450.52,中建交通建设集团有限公司/中航长沙设计研究院有限公司,浏阳汇远实业有限公司,浏阳经济技术开发区管委会财政局招标采购中心,/,时间：2020-04-13 17:35:45
56,浏阳经开区汇远蓝郡公租房建设项目设计采购施工（EPC)总承包,2253450.52,中建交通建设集团有限公司/中航长沙设计研究院有限公司,浏阳汇远实业有限公司,浏阳经济技术开发区管委会财政局招标采购中心,/,时间：2020-04-13 17:34:48
57,天心经开区暮云片区建成区已建道路等配套设施提质改造工程设计施工总承包,186277663.5,长沙市市政工程有限责任公司,湖南天长置业有限责任公司,长沙天心经济开发区管理委员会、长沙市天心区住房和城乡建设局,/,时间：2020-04-13 14:18:43
58,浏阳市关口街道长兴社区长兴福盛小区配套基础设施项目,5873361.11,湖南拓辉建设工程有限公司,浏阳市关口街道办事处,浏阳市发展和改革局,/,时间：2020-04-10 12:07:40
59,白沙液街两厢棚户区改造项目白沙液街腹街提质改造工程中标候选人重新公示,62921103.95,湖南省西湖建筑集团有限公司,长沙市岳麓棚改投资有限责任公司,长沙市岳麓区建设工程招投标办公室,/,时间：2020-04-10 12:06:41
60,浏阳市沙市镇公租房配套设施二期建设项目,2392285.1,湖南新湖建设有限公司,浏阳市沙市镇人民政府,浏阳市发展和改革局,/,时间：2020-04-10 12:04:52
61,长沙市留置场所升级改造项目（新建部分）EPC范围内智能化系统工程及相关服务项目,17772828.69,广州杰赛科技,湖南省第六工程有限公司、长沙市公共工程建设中心,长沙市建设工程招标投标中心,/,时间：2020-04-10 12:03:26
62,宁乡市沙田乡五里堆集镇棚户区配套基础设施建设项目,3017357.9,张家界市宏生建筑装饰有限责任公司,宁乡市沙田乡人民政府,宁乡市建设工程招标投标事务中心,/,时间：2020-04-10 12:01:41
63,宁乡市沩东新城片区开发综合配套银河路（宁韶路-金盾路）建设项目,4627613.88,浩天建工集团有限公司,宁乡市国资投资控股集团有限公司,/,/,时间：2020-04-10 11:59:40
64,长沙高铁会展新城定向商品房源配套建设道路工程施工第二标段,公示期,湖南省第三工程有限公司,长沙市长东投资发展有限公司,长沙市建设工程招标投标中心,/,时间：2020-04-10 11:45:47
65,梦想新天地项目1#、2#、5#-9#栋及地下室（二）建安工程外墙保温一体板工程,21500513.07,湖南华程建设工程有限公司,长沙梅溪湖金晟置业有限公司,/,/,时间：2020-04-10 11:44:48
66,湘江流域和洞庭湖山水林田湖草生态保护修复工程宁乡退耕还林还湿试点项目,3030429.39,湖南旌竣建设工程有限公司,/,宁乡市林业局,/,时间：2020-04-10 11:42:47
67,水洲路一期（观音岩路-雷锋大道）项目,20713103,湖南乔口建设有限公司,长沙市望城区重点建设项目事务中心,长沙市望城区建设工程招投标工作事务中心,/,时间：2020-04-10 11:41:41
68,宁乡市沙田乡沙田集镇棚户区配套基础设施建设项目,1499717.78,长沙恒鑫建筑安装有限公司,宁乡市沙田乡人民政府,宁乡市建设工程招标投标事务中心,/,时间：2020-04-10 11:41:40
69,长沙高铁会展新城定向商品房源配套建设道路工程施工第一标段,公示期,湖南望新建设集团股份有限公司,长沙市长东投资发展有限公司,长沙市建设工程招标投标中心,/,时间：2020-04-08 16:37:03
70,洋湖水厂一期排泥水系统改造工程,29591637.56,湖南星大建设集团有限公司,：长沙供水有限公司,/,/,时间：2020-04-08 16:36:50
71,长沙市星沙强制隔离戒毒所整体迁建项目强电工程施工,4183237.55,湖南鸿齐电力建设有限公司,长沙市公共工程建设中心,长沙市建设工程招标投标中心,/,时间：2020-04-08 16:36:28
72,星沙街道实验小学改扩建工程,11604556.9,湖南顺峰建设有限公司,长沙县教育局,长沙县发展和改革局,/,时间：2020-04-07 17:28:40
73,支路十二道路工程施工,2846481.72,湖南联众建设工程有限公司,：长沙市滨江新城建设开发有限责任公司,湖南湘江新区管委会住建环保局,/,时间：2020-04-07 17:27:40
74,马栏山人才公寓项目施工,191441442.8,湖南东方红建设集团有限公司,长沙马栏山投资开发建设有限公司,长沙市建设工程招投标中心,/,时间：2020-04-07 14:19:44
75,望城区养老中心项目（一期）电梯设备采购,3065000,湖南磊鑫电梯有限公司,长沙市望城区重点建设项目事务中心,长沙市望城区建设工程招标投标管理办公室,/,时间：2020-04-07 10:08:50
76,保利·堂悦设计采购施工总承包（EPC）项目,239762216.7,富利建设集团有限公司/中机国际工程设计研究院有限责任公司,湖南华源房地产开发有限公司,长沙市开福区招标投标管理办公室,/,时间：2020-04-07 08:54:40
77,长房?云尚公馆土方及基坑支护工程施工,48292415.7,湖南园艺建筑集团有限公司,长沙长房致臻房地产开发有限公司,长沙高新区招投标管理办公室,/,时间：2020-04-06 15:02:42
78,湘江大道沙河大桥二期工程桥梁检测项目,1940619,湖南中大检测技术集团有限公司,长沙城投铁路站场迁建开发有限公司, 长沙市建设工程招标投标中心,/,时间：2020-04-06 14:54:43
79,浏阳市镇头镇集镇污水主管网建设项目,3305339.37,湖南运腾建筑工程有限公司,浏阳市镇头镇人民政府,浏阳市发展和改革局,/,时间：2020-04-06 14:49:40
80,长沙市儿童福利院配电工程,3712174.66,湖南鸿齐电力建设有限公司,长沙市第一社会福利院,长沙市建设工程招标投标中心,/,时间：2020-04-06 14:34:46
81,安沙镇物流大道二期建设项目（西向）工程施工,44639413.99,湖南梅溪湖建设有限公司,长沙县重点建设项目事务中心/长沙县星城发展集团有限公司,长沙县发展和改革局,/,时间：2020-04-02 11:11:02
82,长沙市环保大道东延线（振东路-红旗路）电力埋管工程施工,13140246.3,湖南华信安装工程有限公司,长沙雨花经开开发建设有限公司,雨花经开区规划建设局,/,时间：2020-04-02 11:05:48
83,长沙市第四医院滨水新城院区建设项目（基本医疗部分）新院区中心配电站安装工程施工,16815626.49,湖南省工业设备安装有限公司,长沙市第四医院,望城区建设工程招投标工作事务中心,/,时间：2020-04-02 10:52:15
84,宁乡高新金锂公租房（人才公寓）建设设计施工总承包（第二次）中标候选人更正公示,428581172,中国五冶集团有限公司/湖南格瑞工程建设集团有限公司,宁乡同创建设开发有限公司,宁乡高新技术产业园区政府采购与招投标管理办公室,/,时间：2020-04-02 10:26:50
85,浏阳市淮川街道城西社区土产老旧小区改造项目,1456142.98,湖南警安工程有限公司,：浏阳市淮川街道办事处,浏阳市发展和改革局,/,时间：2020-04-02 10:26:45
86,中房瑞致小区5号地块60#-66#栋、垃圾站及地下室建设项目施工,368168204.1,湖南省第六工程有限公司,长沙中住兆嘉房地产开发有限公司,长沙市建设工程招投标中心,/,时间：2020-04-02 10:20:56
87,宁乡市喻家坳乡卫生院公共卫生服务楼建设项目,5583043.92,湖南高新建设有限公司,宁乡市喻家坳乡人民政府,/,/,时间：2020-04-02 10:10:28
88,北辰三角洲项目A1D1区商业改造总承包工程,228822438.7,上海建工二建集团有限公司,：长沙北辰房地产开发有限公司,长沙市开福区招标投标管理办公室,/,时间：2020-03-30 16:14:18
89,西文庙坪周边地块棚改项目配套改造工程四期,73189869.65,湖南六建装饰设计工程有限责任公司,长沙市天心棚改投资有限责任公司,长沙市天心区住房和城乡建设局,/,时间：2020-03-27 15:34:52
90,长房?西府供配电工程设计采购施工项目,30161503.04,兴能电力建设有限公司/平行空间电力设计有限公司,长沙长房西府房地产开发有限公司,长沙高新区招投标管理办公室,/,时间：2020-03-27 15:34:44
91,浏阳经开区产业新城·长沙智中心建设项目设计采购施工（EPC）总承包,66,中国建筑第五工程局有限公司\中机国际工程设计研究院有限责任公司,浏阳汇远实业有限公司 ?????????????招标代理机构：湖南中技项目管理有限公司,浏阳经济技术开发区管委会财政局招标采购中心,/,时间：2020-03-27 10:25:43
92,长沙学院新建弘昱学生宿舍项目代建,2398500,友谊国际工程咨询有限公司,：长沙学院,长沙市政府投资公益性项目代建制指导协调办公室,/,时间：2020-03-27 10:23:41
93,高排水改造工程（北津城路及北津城公园）项目施工（第二次）,78131636.52,湖南望新建设集团股份有限公司,：长沙市滨江新城建设开发有限责任公司,湖南湘江新区管委会住建环保局,/,时间：2020-03-26 14:10:45
94,新昌学校土石方、边坡支护及挡土墙工程,38983093.11,湖南顺天建设集团有限公司,长沙市天心区教育局,长沙市天心区城乡建设局,/,时间：2020-03-26 14:10:44
95,湖南广泽置业发展有限公司广泽上苑住宅小区销售代理项目,/,根据招标投标相关法律法规及招标文件的规定，湖南广泽置业发展有限公司广泽上苑住宅小区销售代理项目评标工作已经结束，本招标项目评标办法采用综合评分法。评标委员会推荐了以下3名中标候选人（排序），现将相关信息予以公示。,湖南广泽置业发展有限公司,/,/,时间：2020-03-26 14:10:40
96,浏阳市淮川街道城西社区土产老旧小区配套基础设施建设项目,4508411.08,湖南华坤建设工程有限公司,：浏阳市淮川街道办事处,浏阳市发展和改革局,/,时间：2020-03-26 14:09:56
97,万家塘路（银星路-银晟路）道路工程施工,38148848.49,湖南省永安建筑股份有限公司,长沙湘江新城投资有限公司,长沙市望城区建设工程招投标工作事务中心,/,时间：2020-03-26 14:08:41
98,长沙市望城区疾病预防控制中心业务用房实验室设备、设施及配套系统采购及安装项目,4518380,湖南赛恩斯科技发展有限公司,湖南高建建设集团有限公司,望城区建设工程招投标工作事务中心,/,时间：2020-03-25 10:36:40
99,望城区第一中学改扩建及高裕九年一贯制学校场地平整整合项目施工,10546215.39,湖南新康建设集团有限公司,长沙市望城区重点建设项目事务中心,长沙市望城区建设工程招投标工作事务中心,/,时间：2020-03-23 15:13:41
100,宁乡高新金锂公租房（人才公寓）建设设计施工总承包（第二次）,433225200,湖南楚湘建设工程集团有限公司/湖南大学设计研究院有限公司,宁乡同创建设开发有限公司,宁乡高新技术产业园区政府采购与招投标管理办公室,/,时间：2020-03-23 14:01:40
101,合欢路（和润园三期-松柏路）和松柏路（桥头小学-红枫路）道路工程施工,25039831.26,湖南星大建设集团有限公司,：长沙麓谷建设发展有限公司,长沙高新技术产业开发区建设工程招标投标管理办公室,/,时间：2020-03-23 13:45:40
102,长沙市开福区公共卫生服务大楼装饰装修工程施工,公示期2020年3月19日至2020年3月24日。,湖南洪山建设集团有限公司,长沙开福城市建设投资有限公司,长沙市开福区招投标管理办公室,/,时间：2020-03-23 13:38:45
103,长沙市星城新宇?东升家园建设项目设计施工总承包（复评）中标候选人补充公示,573197706.8,湖南省第五工程有限公司/湖南大学设计研究院有限公司,长沙市雨花城市建设投资集团有限公司,长沙市雨花区住房和城乡建设局,/,时间：2020-03-23 13:30:40
104,宁乡市沙河片区开发综合配套金亭路（滨江大道-宁韶公路）建设项目（复评）,5554223.79,湖南轩达项目管理有限公司,宁乡市国资投资控股集团有限公司,宁乡市建设工程招标投标事务中心,/,时间：2020-03-23 13:25:41
105,浏阳市沙市镇文光中学新建教学楼项目,5571218.96,湖南首建项目管理有限公司,浏阳市公共工程建设中心,浏阳市发展和改革局,/,时间：2020-03-19 17:20:40
106,宁乡高新区云起实验小学建设设计施工总承包,83309370,五矿二十三冶建设集团有限公司/湖南建设集团有限公司,长沙恩吉实业投资有限公司,宁乡高新技术产业园区政府采购与招投标管理办公室,/,时间：2020-03-18 16:43:42
107,曙光电子集团有限公司办公楼、食堂装修改造工程总承包（EPC）,782.08万,湖南北山建设集团股份有限公司（联合体牵头人）、长沙市规划设计院有限责任公司（联合体成员）,曙光电子集团有限公司,长沙高新区招投标管理办公室,/,时间：2020-03-17 11:27:47
108,长沙市星城新宇?东升家园建设项目设计施工总承包（复评）,573197706.8,湖南省第五工程有限公司/湖南大学设计研究院有限公司,长沙市雨花城市建设投资集团有限公司,长沙市雨花区住房和城乡建设局,/,时间：2020-03-16 09:50:59
109,湖南长沙数据机房土建工程及室外工程施工项目,145711021.9,湖南东方红建设集团有限公司,中国移动通信集团湖南有限公司,长沙高新技术产业开发区建设工程招标投标管理办公室,/,时间：2020-03-15 20:15:48
110,浏阳市大围山镇河西片区棚改配套基础设施（三期）建设项目,2913310.02,湖南森鑫环境景观园林工程有限公司,：浏阳市大围山镇人民政府,浏阳市发展和改革局,/,时间：2020-03-15 20:08:48
111,浏阳市荷花公寓及周边小区配套基础设施（三期）建设项目,2060659.21,湖南运腾建筑工程有限公司,浏阳市荷花街道办事处,浏阳市发展和改革局,/,时间：2020-03-15 20:07:52
112,白沙液街两厢棚户区改造项目白沙液街腹街提质改造工程,60577486.86,湖南东方红建设集团有限公司,长沙市岳麓棚改投资有限责任公司,长沙市岳麓区建设工程招投标办公室,/,时间：2020-03-11 20:54:44
113,浏阳市沿溪镇卫生院公租房配套设施二期建设项目中标候选人更正公示,3975329.93,湖南同欣园林建设,浏阳市沿溪镇人民政府,浏阳市发展和改革局,/,时间：2020-03-11 13:50:40
114,太平街交通微循环改造工程,18529008.5,宏林建设工程集团有限公司,长沙市天心区城市人居环境局,长沙市天心区住房和城乡建设局,/,时间：2020-03-09 14:18:44
115,时光印象B-1#~B-14#、B-S1#、B-G1#、25#地下室及垃圾站工程施工,929660370.9,中国建筑第五工程局有限公司,长沙先导恒泰房地产开发有限公司,长沙高新技术产业开发区建设工程招标投标管理办公室,/,时间：2020-03-06 11:45:42
116,沙河城四期Ⅲ区A地块主体建安工程施工,409230088.8,湖南高建建设集团有限公司,长沙深业置业有限公司,长沙市建设工程招标投标中心,/,时间：2020-03-06 11:43:40
117,滨河东路（湘府东路-黄江大道、劳动东路-螺塘湾东路）配电工程施工,5589000.08,长沙市和盛电力工程安装有限公司,长沙市长东投资发展有限公司,长沙市建设工程招标投标中心,/,时间：2020-03-05 13:44:25
118,浏阳市淮川老城区零星棚户区改造（浏阳河中路片区二期）项目,2907196.86,湖南中集建设工程有限公司,：浏阳市淮川街道办事处,浏阳市发展和改革局,/,时间：2020-03-04 15:05:26
119,湘核华府三期一批项目室外附属配套工程,5334952.11,湖南青竹湖城乡建设有限公司,湖南中核置业有限公司,宁乡市建设工程招标投标事务中心,/,时间：2020-03-04 15:04:23
120,广发银行大厦装修及配套工程装修项目（复评）,20642087.4,根据招标投标相关法律法规及招标文件的规定，广发银行大厦装修及配套工程装修项目于2020年2月18日在长沙公共资源交易中心开标评标，并于2020年2月19日公示了本项目的中标候选人信息，在原公示期内有单位对评标结果有异议，经招标人及监督部门核实后，招标人组织原评标委员会对本项目评标结果进行复评；本项目评标委员会于2020年2月28日15时00分在长沙公共资源交易中心评标室对本项目评标工作进行了复评，现将评标委员会对本项目的复评结果进行公示。信息如下:,广发银行股份有限公司长沙分行,长沙市岳麓区建设工程招投标管理办公室,/,时间：2020-03-04 15:04:22
121,岳麓山国家大学科技城（东核）安置小区一期配电工程施工,27963888.95,湖南安喆电力建设有限公司,长沙市岳麓新城保障房屋建设开发有限责任公司,长沙市岳麓区建设工程招投标管理办公室,/,时间：2020-03-04 15:03:22
122,宁乡市沙河片区开发综合配套金亭路（滨江大道-宁韶公路）建设项目,5783116.86,湖南志鹏建设集团有限公司,宁乡市国资投资控股集团有限公司,宁乡市建设工程招标投标事务中心,/,时间：2020-03-04 15:01:32
123,浏阳市北盛镇棚户区改造项目配套（三期）基础设施建设项目,2732352.17,湖南中集建设工程有限公司,：浏阳市北盛镇人民政府,浏阳市发展和改革局,/,时间：2020-03-04 15:01:29
124,宁乡大道西侧纵向排水管网改造工程,21824240.11,湖南恒楚建设有限公司,宁乡经济技术开发区建设投资有限公司,宁乡经济技术开发区政府采购与招投标办公室,/,时间：2020-03-04 15:01:28
125,宁乡市城郊街道向前小学建设项目设计施工总承包,总报价,宁乡市城郊街道向前小学建设项目设计施工总承包,宁乡市城市建设投资集团有限公司,/,/,时间：2020-03-04 15:00:24
126,宁乡市横市镇横市初级中学建设项目设计施工总承包,60990576.53,湖南省第四工程有限公司（联合体牵头人）,宁乡市横市镇人民政府,宁乡市建设工程招标投标事务中心,/,时间：2020-03-04 14:59:36
127,宁乡市玉潭街道新山小学改扩建项目设计施工总承包,20356345.37,长沙新康建筑工程有限公司/ 张家界规划建筑设计院有限公司,宁乡市玉潭街道楚沩社区居民委员会,宁乡市建设工程招标投标事务中心,/,时间：2020-03-02 10:28:33
128,智高路（玉谷路-翰林路）道路工程设计施工总承包,4.10%,湖南省长沙湘华建筑工程有限公司（联合体牵头人）、中国华西工程设计建设有限公司（联合体成员）,：湖南岳麓经济开发有限责任公司,长沙岳麓科技产业园管理委员会工程建设局,/,时间：2020-03-02 10:02:24
